latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
22.80597,75.21884,321.49,1.05,1.02,2026-04-05,404,Terra,MODIS,65,6.1NRT,305.79,8.8,D
22.80809,75.94834,317.57,1.01,1.01,2026-04-05,404,Terra,MODIS,47,6.1NRT,303.72,6.22,D
22.81509,76.02731,320.85,1.01,1,2026-04-05,404,Terra,MODIS,63,6.1NRT,302.36,9.47,D
22.81801,75.60011,325.89,1.03,1.01,2026-04-05,404,Terra,MODIS,68,6.1NRT,305.13,11.55,D
22.81857,76.06673,318.72,1.01,1,2026-04-05,404,Terra,MODIS,54,6.1NRT,302.53,7.12,D
22.81934,75.59042,322.17,1.03,1.01,2026-04-05,404,Terra,MODIS,46,6.1NRT,305.64,7.61,D
22.8199,76.05723,316.91,1.01,1,2026-04-05,404,Terra,MODIS,37,6.1NRT,301.78,5.54,D
22.82954,75.58211,321.75,1.03,1.01,2026-04-05,404,Terra,MODIS,49,6.1NRT,305.36,7.41,D
22.84066,75.77745,340.3,1.02,1.01,2026-04-05,404,Terra,MODIS,88,6.1NRT,305.24,34.86,D
22.84837,76.11032,319.18,1.01,1,2026-04-05,404,Terra,MODIS,57,6.1NRT,306.55,6.48,D
22.85028,75.64116,318.21,1.02,1.01,2026-04-05,404,Terra,MODIS,41,6.1NRT,305.53,4.72,D
22.85159,75.63149,326.16,1.02,1.01,2026-04-05,404,Terra,MODIS,73,6.1NRT,306.64,12.22,D
22.85587,78.0941,327.3,1.05,1.03,2026-04-05,404,Terra,MODIS,67,6.1NRT,302.52,14.97,D
22.85665,75.31715,341.04,1.04,1.02,2026-04-05,404,Terra,MODIS,89,6.1NRT,307.46,36.75,D
22.85799,75.3073,335.86,1.04,1.02,2026-04-05,404,Terra,MODIS,85,6.1NRT,306.06,27.72,D
22.86066,75.28758,320.28,1.04,1.02,2026-04-05,404,Terra,MODIS,62,6.1NRT,304.48,7.92,D
22.86345,78.04459,325.04,1.05,1.02,2026-04-05,404,Terra,MODIS,69,6.1NRT,303.05,12.84,D
22.86482,78.09566,334.6,1.05,1.03,2026-04-05,404,Terra,MODIS,84,6.1NRT,304.05,24.43,D
22.86496,78.03471,325.11,1.05,1.02,2026-04-05,404,Terra,MODIS,66,6.1NRT,304.48,11.98,D
22.86634,78.08574,339.25,1.05,1.02,2026-04-05,404,Terra,MODIS,88,6.1NRT,302.95,31.99,D
22.86668,75.85011,318.41,1.01,1.01,2026-04-05,404,Terra,MODIS,52,6.1NRT,301.83,6.05,D
22.86801,75.84052,317.51,1.02,1.01,2026-04-05,404,Terra,MODIS,46,6.1NRT,302.97,5.52,D
22.86807,77.95434,349.79,1.04,1.02,2026-04-05,404,Terra,MODIS,95,6.1NRT,303.67,51.56,D
22.86957,77.94451,327.41,1.04,1.02,2026-04-05,404,Terra,MODIS,50,6.1NRT,303.8,13.82,D
22.87107,77.9347,318.67,1.04,1.02,2026-04-05,404,Terra,MODIS,47,6.1NRT,303.02,5.75,D
22.87529,78.0873,324.71,1.05,1.02,2026-04-05,404,Terra,MODIS,44,6.1NRT,305.14,10.94,D
22.87549,77.96571,331.42,1.04,1.02,2026-04-05,404,Terra,MODIS,56,6.1NRT,304.3,16.98,D
22.87699,77.95588,337.73,1.04,1.02,2026-04-05,404,Terra,MODIS,87,6.1NRT,303.76,27.31,D
22.87848,77.94606,332.83,1.04,1.02,2026-04-05,404,Terra,MODIS,77,6.1NRT,304.59,21.04,D
22.8826,75.73486,320.88,1.02,1.01,2026-04-05,404,Terra,MODIS,62,6.1NRT,306.99,7.52,D
22.88714,78.13014,320.51,1.06,1.03,2026-04-05,404,Terra,MODIS,42,6.1NRT,303.06,7.85,D
22.88866,78.12019,332.04,1.06,1.03,2026-04-05,404,Terra,MODIS,82,6.1NRT,303.06,20.7,D
22.88876,78.05914,326.69,1.05,1.02,2026-04-05,404,Terra,MODIS,70,6.1NRT,303.48,13.87,D
22.89017,78.11026,334.85,1.05,1.03,2026-04-05,404,Terra,MODIS,85,6.1NRT,303.58,23.42,D
22.89026,78.04925,321.7,1.05,1.02,2026-04-05,404,Terra,MODIS,9,6.1NRT,303.7,8.21,D
